Motor	Index	Joint	Dir	Offset	Signal	Min	Max
00	0	BL_HIP	-	+2	387	11	131
01	1	BL_KNEE	+	+0	400	14	157
02	2	BL_ANKLE	-	+0	400	44	138
03	15	BR_HIP	+	+4	413	9	129
04	14	BR_KNEE	-	-2	406	19	178
05	13	FL_HIP	+	+5	416	44	153
06	11	FR_HIP	+	+9	403	52	135
07	10	FR_KNEE	+	+0	400	15	154
08	9	FR_ANKLE	-	+0	400	47	180
09	3	FL_HIP	-	-6	420	55	173
10	4	FL_KNEE	-	+0	400	24	180
11	5	FL_ANKLE	+	-6	380	46	166
12	12	FL_HIP	+	+0	506	0	180
13	13	FL_HIP	+	+0	400	0	180
14	14	FL_HIP	+	+0	436	0	180
15	15	FL_HIP	+	+0	426	0	180
