Motor	Index	Joint	Dir	Offset	Signal	Min	Max
00	0	BL_HIP	-	+4	387	27	127
01	1	BL_KNEE	+	+0	400	19	150
02	2	BL_ANKLE	-	+0	400	43	180
03	15	BR_HIP	+	+5	416	10	129
04	14	BR_KNEE	-	-3	410	33	180
05	13	BR_ANKLE	+	+6	420	43	145
06	11	FR_HIP	+	+0	400	53	133
07	10	FR_KNEE	+	+0	400	19	151
08	9	FR_ANKLE	-	+0	400	47	180
09	3	FL_HIP	-	-6	420	56	167
10	4	FL_KNEE	+	+0	400	0	180
11	5	FL_ANKLE	+	-4	387	40	159
12	6	AUX_1	+	+0	400	0	180
13	7	AUX_2	+	+0	400	0	180
14	8	AUX_3	+	+0	400	0	180
15	12	AUX_4	+	+0	400	0	180
